municipio;codigo_municipio;gentilico;prefeito_2017;area;populacao;densidade_demografica_2010;escolaridade_2010;idh_municipal_2010;mortalidade_infantil_mortes_por_mil_nascimentos_2017;receitas_realizadas_reais_x_mil_2017;despesas_empenhadas_reais_x_mil_2017;pib_per_capita_reais_2017
Angra dos Reis;3300100;angrense;FERNANDO ANTÔNIO CECILIANO JORDÃO;813,21;203785;205,45;96,4;0,724;6,83;1048674,53;844589,2681;51893,01
Aperibé;3300159;aperibeense;VANDELAR DIAS DA SILVA;94,542;11759;107,92;96,7;0,692;27,4;Não informado;Não informado;15202,23
Araruama;3300209;araruamense;LÍVIA SOARES BELLO DA SILVA;638,15;132400;175,55;98,3;0,718;10,66;316770,8632;314786,3468;19840,12
Areal;3300225;arealense;FLÁVIO MAGDALENA BRAVO;110,724;12572;102,99;98;0,684;38,67;59613,31119;53040,68042;26814,55
Armação dos Búzios;3300233;buziano;ANDRE GRANADO NOGUEIRA DA GAMA;70,978;33870;392,16;97,6;0,728;12,07;239846,2337;201183,5162;53078,97
Arraial do Cabo;3300258;cabista;RENATO MARTINS VIANNA;152,106;30349;172,91;99,2;0,733;10,82;153413,5023;152077,3455;24711,7
Barra do Piraí;3300308;barrense;MARIO REIS ESTEVES;584,61;100374;163,7;98,7;0,733;17,59;222231,6373;201994,1888;20789,95
Barra Mansa;3300407;barra-mansense;RODRIGO DRABLE COSTA;547,133;184412;324,94;98,4;0,729;11,81;506164,1276;405027,0586;27211,05
Belford Roxo;3300456;belford-roxense;WAGNER DOS SANTOS CARNEIRO;78,985;510906;6031,38;96,2;0,684;12,96;612861,7444;612697,5304;16514,03
Bom Jardim;3300506;bom-jardinense;ANTONIO CLARET GONÇALVES FIGUEIRA;382,43;27446;65,86;97,4;0,66;20,3;91360,93363;83619,01202;24601,13
Bom Jesus do Itabapoana;3300605;bom-jesuense;ROBERTO ELIAS FIGUEIREDO SALIM FILHO;596,659;37096;59,13;98,1;0,732;8,57;99483,01549;98359,22036;20181,93
Cabo Frio;3300704;cabo-friense;ADRIANO GUILHERME DE TEVES MORENO;413,575;226525;453,75;96,9;0,735;15,46;822362,4781;818453,9692;39781,41
Cachoeiras de Macacu;3300803;cachoeirense;MAURO CEZAR DE CASTRO SOARES;954,749;58937;56,9;98,4;0,7;11,14;203269,8749;178476,2494;16931,18
Cambuci;3300902;cambuciense;AGNALDO VIEIRA MELLO;558,281;15505;26,4;98,8;0,691;6,62;60667,69616;55295,19124;20996,36
Carapebus;3300936;carapebuense;CHRISTIANE MIRANDA DE ANDRADE CORDEIRO;304,885;16301;43,36;98,7;0,713;12,12;90008,6306;83993,54822;23636,65
Comendador Levy Gasparian;3300951;gaspariense;VALTER LUIZ LAVINAS RIBEIRO;108,639;8561;76,53;99,4;0,685;8,62;44262,30107;33734,12898;43323,81
Campos dos Goytacazes;3301009;campista;RAFAEL PAES BARBOSA DINIZ NOGUEIRA;4032,487;507548;115,16;97,3;0,716;13,74;1734229,741;1663244,704;43013,04
Cantagalo;3301108;cantagalense;JOAQUIM AUGUSTO CARVALHO DE PAULA;747,21;20172;26,47;95,4;0,709;4,88;93794,6147;81315,03497;34591,9
Cardoso Moreira;3301157;cardosense;GILSON NUNES SIQUEIRA;522,596;12823;24,02;98,6;0,648;8;65619,6093;53678,19872;25550,88
Carmo;3301207;carmense;PAULO CESAR GONÇALVES LADEIRA;305,749;18895;54,15;98,6;0,696;9,05;73908,7174;68920,76148;22822,87
Casimiro de Abreu;3301306;casimirense;PAULO CEZAR DAMES PASSOS;462,918;44184;76,71;98,5;0,726;7,36;238054,0715;197770,7116;32620,43
Conceição de Macabu;3301405;macabuense;CLAUDIO EDUARDO BARBOSA LINHARES;338,26;23228;61,08;98,8;0,712;7,35;92675,0408;64298,1721;14318,3
Cordeiro;3301504;cordeirense;LUCIANO RAMOS PINTO;113,048;21926;175,59;97,6;0,729;18,05;67314,3707;59630,11708;21811,77
Duas Barras;3301603;bibarrense;LUIZ CARLOS BOTELHO LUTTERBACH;379,619;11492;29,14;97,8;0,659;14,39;54567,76424;46700,76188;18983,95
Duque de Caxias;3301702;caxiense;WASHINGTON REIS DE OLIVEIRA;467,319;919596;1828,51;96,1;0,711;14,35;2318008,292;2371514,252;45894,84
